Table S1 Complied composational data for zircons from barren and fertile rocks from the lithature.,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITATION,LOCATION,LATITUDE (MIN.),LONGITUDE (MIN.),ROCK NAME,AGE(MA),Cu_tonnage_Mt,Comment,Feature,Ti,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,Hf,U,Th
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,7.88,0.05,10.5,0.05,4.25,11.6,1.99,61.6,24.5,295,125,526,129,1077,199,2737,12390,305,134
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,10.9,69.1,169,22.5,132,41.8,4.34,102,32.7,361,147,611,148,1232,228,3226,12591,503,272
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,6,0.02,25.1,0.3,4.41,13.8,2.3,79.9,34.4,415,172,701,167,1358,248,3675,12724,639,414
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,9.06,0.28,12,,1.88,5.08,1.01,33.8,15.5,194,83,356,89.5,762,144,1832,12894,308,127
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,4.93,0.07,16.5,0.15,2.32,8.23,1.52,45.6,19.7,257,108,456,111,936,171,2355,12535,348,155
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,6.37,,11.5,0.21,2.04,6.1,0.72,32.4,14.5,178,76.2,323,80.8,683,125,1669,13047,328,151
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,8.48,7.15,35.7,2.27,16.3,12.3,1.94,57.9,23,286,118,500,122,1000,187,2600,12825,468,246
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,9.09,0.35,14.2,0.37,2.5,7.99,1.91,53.3,22,283,123,526,131,1106,215,2692,12652,362,149
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,11.5,0.49,11.7,0.07,3.2,7.08,1.69,43.3,18.5,233,101,449,115,1016,196,2258,12336,324,105
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,5.52,,14.7,0.38,8.45,18.7,3.52,107,41.7,472,192,769,179,1436,261,4069,12766,396,224
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,8.49,,21.6,,3.72,9.46,1.83,57.2,24.7,311,133,560,137,1126,215,2881,12978,556,319
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,9.24,2.03,21.1,0.68,8.27,13.4,2.66,74.4,32.1,387,164,705,170,1342,273,3621,12898,429,215
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,10,,23.7,0.18,3.71,10.7,1.89,64.2,28.7,346,147,599,145,1173,219,3138,12580,608,402
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,5.81,40,96.8,12.9,78.8,24.9,3.09,70,22.3,260,107,459,110,914,172,2370,12741,442,245
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,10.8,5.43,32.1,1.87,13.4,9.85,1.75,54.8,21.8,274,117,481,119,965,180,2528,12697,485,286
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,5.65,9.73,35.1,3.53,22.5,15.5,3.4,75.7,31,377,159,666,159,1313,241,3446,12599,421,231
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,8.99,,33.2,0.08,3.01,12.8,2.33,79,33.2,412,170,697,169,1356,249,3677,13224,765,500
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,11.8,,25.7,0.09,4.13,10.9,2.31,72.1,30.8,372,155,642,153,1247,229,3398,12981,750,539
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,9.45,,16,0.13,3.32,8.06,1.64,45.8,20.1,244,103,430,105,851,163,2255,13186,492,326
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,11.3,0.04,17.7,1.79,28.7,65.3,33.8,238,71.5,564,158,520,117,922,173,3383,12884,399,189
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,8.37,0.04,19.2,0.17,3.92,8.55,2.12,65.8,26.7,338,142,595,142,1175,222,3082,12759,524,308
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,6.12,33,96.6,11.2,63.7,26.4,3.19,90.4,31.2,378,158,673,161,1330,251,3463,13119,663,392
[19221] ZHAO SHAO-QING (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / BATANG GROUP,33,95,DACITE,222,,Barren,0,14.4,0.77,25.7,0.46,3.61,10.5,1.87,71.2,28.2,349,149,617,149,1225,232,3187,13142,592,353
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,156,,Barren,0,10.27,25.2,71.97,10.31,53.92,19.85,2.26,41.67,12.41,159.7,55.26,248.76,59.89,651.65,86.52,1532.2,8624.99,139.9,125.8
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,132,,Barren,0,16.89,8.81,60.58,2.71,14.86,12.26,1.88,63.55,23.3,326.46,113.58,517.22,123.37,1330.89,170.96,3237.63,8797.78,622.96,993.01
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,113,,Barren,0,7.15,4.41,20.64,1.76,10.87,8.78,1.3,44.75,15.41,214.41,76.21,354.5,80.63,840.51,116.9,2090.95,10075.63,160.16,165.04
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,110,,Barren,0,10.77,4.03,16.26,1.59,10.19,7.35,1.19,35.73,12.28,176.91,64.54,301.38,68.67,706.32,107.48,1792.43,10057.96,126.53,133.47
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,140,,Barren,0,7.74,37.78,100.3,15.11,81.62,29.27,2.79,63.98,18.23,232.13,77.69,340.21,77.55,798.84,108,2060.21,9584.49,194.57,241.35
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,163,,Barren,0,10.79,20.51,54.97,7.99,45.21,20.39,2.34,59.68,18.5,243.39,82.26,371.29,84.41,884.93,119.23,2192.36,9887.31,151.27,148.26
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,114,,Barren,0,5.88,76.51,199.95,30.94,157.9,51.89,5.01,101.99,26.43,319.96,102.85,438.25,98.26,989.31,130.67,2693.54,9362.3,150.84,158.42
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,132,,Barren,0,9.23,0.619,11.16,0.403,4.45,9.75,1.9,53.85,18.37,253.67,86.15,384.36,89.96,973.09,121.61,2324.95,8137.27,167.72,168.95
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,130,,Barren,0,4,0.098,14.93,0.072,1.5,4.45,0.599,30.35,11.55,170.8,62.33,292.87,72.2,818.67,102.03,1731.17,9839.6,392,311.58
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,165,,Barren,0,8.6,0.094,5.53,0.08,1.47,3.4,0.838,21.74,8.27,118.95,42.33,202.05,49.55,569.7,73.26,1212.25,7944.25,103.87,70.88
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,127,,Barren,0,11.63,17.08,53.9,7,41.02,25.84,4.09,93.38,28.73,380.42,124.88,540.4,122.49,1280.98,163.9,3303.48,8605.44,244.39,336.36
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,109,,Barren,0,9.54,0.09,7.66,0.104,1.81,4.41,0.797,27.04,9.85,144.69,53.66,255.38,60.67,641.9,94.81,1519.55,10057.02,119.35,106.54
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,109,,Barren,0,6.79,,6.88,0.08,1.05,3.5,0.62,20.73,7.58,112.83,41.46,195.3,47.05,536.72,69.54,1149.38,9555.13,112.01,78.04
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,140,,Barren,0,12.8,3.22,14.44,1.32,8.71,8.7,1.71,44.33,15.56,221.96,77.67,362.84,84.38,901.11,121.96,2160.9,9344.5,156.38,160.65
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,107,,Barren,0,6.37,10.54,32.75,4.43,23.79,12.87,1.4,44.39,14.67,203.52,70.94,332.1,75.4,806.27,112.72,1980.35,11071.95,167.21,153.54
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,118,,Barren,0,7.59,0.118,7.64,0.122,1.72,4.34,0.86,32.22,12.23,183.05,67.79,331.87,77.27,811.26,127.55,1941.2,10749.89,192.4,198.71
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,109,,Barren,0,10.13,,7.75,0.169,3.15,9.5,1.84,59.74,21.09,294.47,102.25,466.9,106.69,1096.42,154.07,2792.5,10129.71,155.71,161.2
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,111,,Barren,0,9.43,0.237,6.49,0.152,1.62,3.91,0.737,22.97,8.98,130.22,48.18,228.8,54.04,562.58,86.74,1350.48,11520.88,97.74,92.97
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,110,,Barren,0,7.57,3.11,13.68,1.156,7.77,6.09,0.96,30.62,10.89,156.58,55.61,264.55,61.36,656.08,96.29,1572.51,10997.47,114.23,96.38
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,115,,Barren,0,6.73,0.429,8.65,0.246,1.42,1.9,0.71,15.78,6.01,94.24,37.41,197.07,54.39,656.03,101.65,1167.41,9641.7,129.47,61.34
