"Table S2 Zricon composation of igneous rocks from diferent phases of the Guichon Greek batholith in the highland valley porphyry copper district, Canada",,,,,,,,,,,,,,,,,,,,,,,
Sample No.,Rock type,Zricon ID,Age,Ti,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,Hf,Ce_zhong,Eu_zhong,Eu_Zhong/Y,Ce/Nd,(Ce/Nd)/Y
MA038,Gui-Chat sub-facies,RLP2L1-2,210.42,14.9,24.04,6.39,9.6,2.34,49,14.94,189.7,68.8,310.9,63.6,549,110.9,2150,8408,75.63484169,0.276295159,0.000128509,3.762128326,0.001749827
MA038,Gui-Chat sub-facies,RLP2L1-3A,210.42,13.1,8.53,0.81,1.56,0.332,8.17,2.73,36.9,14.28,70.2,15.86,146.8,31.42,453.9,9630,334.6369395,0.233866259,0.000515237,10.5308642,0.023200846
MA038,Gui-Chat sub-facies,RLP2L1-3B,210.42,10,10.89,0.42,1.27,0.288,7.23,2.6,34,14.39,71,15.93,155.3,33.11,447.7,9760,1001.25372,0.259842581,0.000580394,25.92857143,0.057915058
MA038,Gui-Chat sub-facies,RLP2L1-4,210.42,19,15.87,5.02,7.31,1.42,34.8,11.01,136.9,50.3,231.7,46.8,418,82.9,1557,8700,64.1260753,0.223478304,0.000143531,3.161354582,0.002030414
MA038,Gui-Chat sub-facies,RLP2L1-5,210.42,13.6,25.34,6.37,10.18,2.46,51.9,16.03,198,70.8,318,64.6,567,112.3,2280,8398,76.72567637,0.280559887,0.000123053,3.978021978,0.001744746
MA038,Gui-Chat sub-facies,RLP2L1-6,210.42,14,20.32,5.56,8.15,1.71,36.8,11.64,145.1,53.8,245.1,50.41,453.6,89,1686,8706,73.22744947,0.248104025,0.000147155,3.654676259,0.002167661
MA038,Gui-Chat sub-facies,RLP2L1-7,210.42,7.4,16.37,1.39,4.18,0.9,22.3,7.41,91.9,34.99,162.5,35.2,327.6,65.6,1091,10190,301.1361948,0.275712895,0.000252716,11.77697842,0.010794664
MA038,Gui-Chat sub-facies,RLP2L1-8,210.42,10.4,12.9,0.6,1.82,0.318,8.74,3.18,41.4,16.12,78.9,17.85,175,35.84,521.3,9780,686.6669145,0.222228354,0.000426296,21.5,0.041243046
MA038,Gui-Chat sub-facies,RLP2L1-9,210.42,9.6,11.91,0.65,1.45,0.34,9.05,3.07,40.57,15.9,77.9,17.66,169.8,34.91,512.9,9340,650.1314559,0.243850498,0.000475435,18.32307692,0.035724463
MA038,Gui-Chat sub-facies,RLP2L1-10A,210.42,10.4,14.85,2.49,5.68,1.02,26.7,8.14,94.8,33.15,149.1,30.67,279.9,55.2,1042,9400,103.3736552,0.245926968,0.000236014,5.963855422,0.00572347
