"Table S3 Zircon composation of the Cenozoic igenous rocks from the southern Gandese belt, China.",,,,,,,,,,,,,,,,,,,,,,,,
Sample,Analysis number,Location,Age (Ma),Ti,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,Hf,Ce_zhong,Eu_zhong,Eu_Zhong/Y,Ce/Nd,(Ce/Nd)/Y
QS-11,QS11-05_3,Quxu,53,4.881048559,31.05,0.7459,5.444,4.455,0.7932,37.87,12.6,118,38.41,304.9,78.56,674,81.61,2145,12655.26841,194.3190972,0.129301293,6.03E-05,5.703526819,0.002658987
QS-11,QS11-05_4,Quxu,53,9.763295804,28.14,0.8083,2.216,3.517,0.5253,14.21,3.782,83.5,39.13,196.3,32.19,426.9,89.42,710.7,14084.11639,559.2863531,0.165246112,0.000232512,12.69855596,0.017867674
QS-11,QS11-05_6,Quxu,53,6.604758733,23.69,0.218,3.328,4.612,0.8669,20.19,5.892,113.3,59.12,262.2,43.31,473.9,108.8,983.9,14584.42518,280.4575242,0.192294876,0.000195441,7.118389423,0.007234871
NM11-01,NM1101-_1,Nanmu,52,30.80023151,32.05,0.1559,1.64,3.851,1.568,27.02,6.939,51.75,39,254,41.7,304.9,64.74,1048,23603.55107,558.6268811,0.464882066,0.00044359,19.54268293,0.018647598
NM11-01,NM1101-_2,Nanmu,52,43.3324915,40.65,0.419,4.414,8.838,3.929,63.74,13.88,121.7,107.1,617.2,82.66,530.2,118,2282,22873.43943,223.0258726,0.489231803,0.000214387,9.209333937,0.004035642
NM11-01,NM1101-_3,Nanmu,52,37.7885697,49.34,0.907,7.141,10.9,2.672,85.64,16.22,130.8,86.74,599.3,97.1,571.4,106.9,2671,17332.73159,134.464102,0.264976489,9.92E-05,6.909396443,0.00258682
NM11-01,NM1101-_4,Nanmu,52,27.35400985,38.96,0.5431,3.735,10.3,1.919,30.22,5.958,108.6,74.14,255.3,41.28,347,123.2,1194,20446.51781,220.6825134,0.332627738,0.000278583,10.43105756,0.008736229
NM11-01,NM1101-_5,Nanmu,52,32.0588516,36.08,0.5088,8.05,26.04,5.137,64.76,13.98,326.1,181.6,720.1,77.45,792.3,267,2205,16915.52494,86.69351397,0.377846938,0.000171359,4.481987578,0.002032647
WR-12-11,WR12-11_1,Gurong,59,3.913109779,17.32,0.0925,1.988,6.971,0.4316,35.18,16.88,241.9,78.03,339.3,86.71,1079,141.6,2218,8146.553444,319.7532917,0.07240527,3.26E-05,8.712273642,0.003927986
WR-12-11,WR12-11_2,Gurong,59,8.738419449,21.71,0.3394,3.461,6.129,1.513,31.14,12.02,177.1,68.85,290.7,61.22,829.3,142.5,1678,8886.840855,232.0405196,0.25144951,0.000149851,6.272753539,0.003738232
WR-12-11,WR12-11_3,Gurong,59,4.4345381,19.55,0.085,1.01,2.917,0.5129,26.18,10.11,169.3,77.49,366.7,71.8,568.5,136.2,1858,10696.4323,1105.905287,0.142331621,7.66E-05,19.35643564,0.010417888
WR-12-11,WR12-11_5,Gurong,59,3.905917664,20.64,0.0783,1.204,4.358,0.7534,26.33,11.17,169.6,66.81,255.5,57.33,619.3,110.8,1650,9845.907363,656.4635147,0.189120483,0.000114618,17.14285714,0.01038961
WR-12-11,WR12-11_6,Gurong,59,6.454923008,10,0.1188,2.495,5.449,1.389,23.61,7.742,117.7,44.05,211.2,38.9,483.2,85.78,1151,10492.06888,112.9807987,0.317500747,0.000275848,4.008016032,0.003482203
KMQ-12-2,KMQ12-2_1,Kangmaqie,51,21.29465316,23.33,0.5206,8.572,19.66,2.606,109.2,25.27,274.2,108.3,545.1,91.37,679.7,92.02,3245,9222.64133,31.09617218,0.186685544,5.75E-05,2.72165189,0.000838722
KMQ-12-2,KMQ12-2_2,Kangmaqie,51,18.87330785,13.38,0.2914,5.623,12.27,1.832,61.98,15.92,201.1,70.32,343.5,54.68,484.6,75.99,2003,9433.788599,31.64726614,0.205383695,0.000102538,2.379512716,0.001187974
KMQ-12-2,KMQ12-2_3,Kangmaqie,51,20.14391479,41.3,0.6636,8.843,20.43,2.644,157.3,36.46,424.4,166.2,883.8,145.7,1024,156.1,5203,10793.10214,71.52252609,0.150006873,2.88E-05,4.670360737,0.000897628
KMQ-12-2,KMQ12-2_4,Kangmaqie,51,25.34021772,25.54,0.6887,11.71,27.21,4.334,126.7,32.25,329.8,124.6,531.1,94.33,744.5,107.6,3899,8839.353919,20.82270888,0.247605462,6.35E-05,2.181041845,0.000559385
KMQ-12-2,KMQ12-2_6,Kangmaqie,51,16.65573913,19.87,0.576,9.187,19.98,2.4,101.6,28.65,382.6,144.4,531.9,87.04,729.9,139.4,3762,9939.185273,28.58234701,0.158869813,4.22E-05,2.162838794,0.000574917
JM11-36,JM11-36_1,Jiama,17,3.576279071,29.51,0.1092,1.142,2.301,0.9709,15.09,5.317,65.35,28.9,157.4,40.54,450.1,87.29,960.1,12681.55582,1376.783625,0.39804729,0.000414589,25.84063047,0.02691452
JM11-36,JM11-36_2,Jiama,17,3.622428474,59.54,0.1108,1.895,4.218,1.019,18.2,5.071,58.81,20.07,89,19.36,226.3,43.97,524.5,12159.19952,565.5830901,0.355017789,0.000676869,31.41952507,0.059903766
JM11-36,JM11-36_4,Jiama,17,2.516041485,26.38,0.0809,0.9649,1.987,1.137,12.56,4.647,61.8,26.58,153.9,41.79,524.2,120.3,878.7,12490.7601,2003.245569,0.525509186,0.000598053,27.33962069,0.031113714
JM11-36,JM11-36_6,Jiama,17,3.202289102,20.76,0.0114,0.6932,1.654,0.6422,6.248,2.001,26.62,11.6,56.22,12.64,157.9,39.94,270.4,12811.29691,1079.148316,0.532851717,0.001970605,29.94806694,0.110754685
JM11-36,JM11-36_8,Jiama,17,2.174416033,33.65,0.0439,0.6421,1.278,0.5797,9.096,3.208,32.75,13.19,76.59,28.2,315,60.08,569.7,10964.3943,3201.359971,0.424188781,0.000744583,52.40616726,0.09198906
PG11-06,PG11-06_2,Pagu,15,1.661977855,25.57,0.057,0.9809,1.944,0.9612,9.691,3.394,34.43,14.22,56.7,17.12,197.6,40.1,495.3,10857.54869,795.9503788,0.590713313,0.001192637,26.06789683,0.052630521
PG11-06,PG11-06_3,Pagu,15,1.896920271,16.87,0.0425,0.9015,1.657,0.6789,5.986,1.856,29.08,11.61,47.53,11.08,171.2,50.69,298.6,11540.1734,730.7914608,0.53231818,0.001782713,18.71325568,0.062669979
PG11-06,PG11-06_5,Pagu,15,4.906820304,74.19,0.2012,2.623,5.183,1.799,21.91,5.98,62.61,22.92,109.5,22.43,242.6,48.12,636.9,12876.59145,471.4915706,0.5094752,0.00079993,28.28440717,0.044409495
PG11-06,PG11-06_6,Pagu,15,3.457009834,38.93,0.0805,1.517,3.024,1.132,12.45,3.997,46.59,15.83,76.53,18.73,227.5,49.48,496,11323.09026,655.8805166,0.506459009,0.001021087,25.66249176,0.051738895
PG11-06,PG11-06_7,Pagu,15,3.385688029,11.88,0.0786,1.223,2.753,1.306,11.22,3.583,39.39,12.09,53.51,11.49,137.2,22.32,385.5,10459.84561,151.0596809,0.709097682,0.001839423,9.713818479,0.025197973
PZ11-03,PZ11-03_1,Xigaze,17,5.111795575,10.07,0.044,1.097,3.715,2.35,23.74,8.921,125.4,52.8,257.7,53.37,540.5,98.76,1677,11118.72684,374.8159656,0.682646403,0.000407064,9.179580675,0.005473811
PZ11-03,PZ11-03_2,Xigaze,17,8.744412878,21.03,0.118,2.166,6.493,4.498,41.99,13.97,160.8,63.41,301.7,59.67,612.3,101.8,1899,10531.07601,251.5173467,0.812970914,0.000428105,9.709141274,0.005112765
PZ11-03,PZ11-03_3,Xigaze,17,9.60746665,11.06,0.0771,1.469,3.312,1.736,15.06,4.58,52.22,18.95,85.1,18.58,195.4,39.47,598.4,9300.655582,151.5034454,0.722014739,0.001206575,7.528931246,0.01258177
PZ11-03,PZ11-03_4,Xigaze,17,4.6413114,4.501,0.0309,0.2556,1.101,0.6539,6.561,1.93,23.95,9.087,50.6,10.91,109.5,21.01,319.1,11669.06651,531.0788903,0.811937509,0.002544461,17.60954617,0.05518504
PZ11-03,PZ11-03_5,Xigaze,17,15.6368562,16.03,0.1368,2.482,4.674,2.969,25.74,7.821,87.58,33.5,167.6,34.93,348.1,66.43,1062,8088.042755,152.3207417,0.742830582,0.000699464,6.458501209,0.006081451
PZ11-03,PZ11-03_6,Xigaze,17,10.27273727,12.69,0.0476,1.67,3.653,2.541,28.53,9.168,98.43,33.13,174.6,38.15,382.5,64.16,1217,9570.313539,201.2143382,0.708490069,0.000582161,7.598802395,0.00624388
PZ11-03,PZ11-03_7,Xigaze,17,9.145972619,14.93,0.1157,2.373,4.699,2.485,22.16,6.03,64.42,20.86,104.2,21.66,204.2,35.51,717.1,9432.092637,92.07950721,0.746234507,0.001040628,6.291613991,0.008773691
